latitude,longitude,accuracy,Date,Time
-29.620745,-51.12716667,24,30-10-2022,13:16:3
-29.620745,-51.12716667,12,30-10-2022,13:16:3
-29.62123,-51.127545,4,30-10-2022,13:16:3
-29.621305,-51.12765667,4,30-10-2022,13:18:29
-29.62134667,-51.1278,4,30-10-2022,13:18:32
-29.62137667,-51.127905,4,30-10-2022,13:18:34
-29.62140667,-51.12801667,4,30-10-2022,13:18:36
-29.62144167,-51.12813,4,30-10-2022,13:18:38
-29.621485,-51.128245,4,30-10-2022,13:18:40
-29.62152,-51.12837167,4,30-10-2022,13:18:42
-29.62155833,-51.12850333,4,30-10-2022,13:18:44
-29.62160333,-51.12864833,4,30-10-2022,13:18:46
-29.62165,-51.12879833,4,30-10-2022,13:18:48
-29.621705,-51.12895333,4,30-10-2022,13:18:50
-29.62174833,-51.12913,4,30-10-2022,13:18:52
-29.62174833,-51.12913,4,30-10-2022,13:18:52
-29.62177167,-51.12923333,4,30-10-2022,13:18:53
-29.62182833,-51.12940833,4,30-10-2022,13:18:55
-29.621895,-51.12961,4,30-10-2022,13:18:57
-29.62192667,-51.12971,4,30-10-2022,13:18:58
-29.621955,-51.12981,4,30-10-2022,13:18:59
-29.621985,-51.12991167,4,30-10-2022,13:19:00
-29.622015,-51.13001333,4,30-10-2022,13:19:01
-29.62204667,-51.13012,4,30-10-2022,13:19:02
-29.62208333,-51.130225,4,30-10-2022,13:19:03
-29.62212,-51.13032667,4,30-10-2022,13:19:04
-29.62216,-51.13042833,4,30-10-2022,13:19:05
-29.62219833,-51.13052833,4,30-10-2022,13:19:06
-29.62224333,-51.13062167,4,30-10-2022,13:19:07
-29.622295,-51.13071667,4,30-10-2022,13:19:08
-29.62235,-51.13081,4,30-10-2022,13:19:09
-29.62241333,-51.13089667,4,30-10-2022,13:19:10
-29.62247167,-51.13099667,4,30-10-2022,13:19:11
-29.62254,-51.131095,4,30-10-2022,13:19:12
-29.62260667,-51.131185,4,30-10-2022,13:19:13
-29.62267833,-51.13127167,4,30-10-2022,13:19:14
-29.62274333,-51.131365,4,30-10-2022,13:19:15
-29.62281667,-51.13145167,4,30-10-2022,13:19:16
-29.62289167,-51.13154,4,30-10-2022,13:19:17
-29.62296667,-51.13163,4,30-10-2022,13:19:18
-29.62304333,-51.13172167,4,30-10-2022,13:19:19
-29.62311667,-51.13181833,4,30-10-2022,13:19:20
-29.62319,-51.13192167,4,30-10-2022,13:19:21
-29.62326167,-51.13202667,4,30-10-2022,13:19:22
-29.62326167,-51.13202667,4,30-10-2022,13:19:22
-29.62332833,-51.13213667,4,30-10-2022,13:19:23
-29.62337333,-51.132255,4,30-10-2022,13:19:24
-29.6234,-51.132385,4,30-10-2022,13:19:25
-29.62341167,-51.13251667,4,30-10-2022,13:19:26
-29.62342,-51.13265667,4,30-10-2022,13:19:27
-29.62342,-51.13279,4,30-10-2022,13:19:28
-29.62342,-51.13292167,4,30-10-2022,13:19:29
-29.623415,-51.133055,4,30-10-2022,13:19:30
-29.623405,-51.13319,4,30-10-2022,13:19:31
-29.62340167,-51.13332833,4,30-10-2022,13:19:32
-29.623405,-51.13346167,4,30-10-2022,13:19:33
-29.62342333,-51.13359667,4,30-10-2022,13:19:34
-29.62345333,-51.13372667,4,30-10-2022,13:19:35
-29.62349167,-51.13385333,4,30-10-2022,13:19:36
-29.62354,-51.13397667,4,30-10-2022,13:19:37
-29.6236,-51.13409667,4,30-10-2022,13:19:38
-29.62367167,-51.13421167,4,30-10-2022,13:19:39
-29.62374833,-51.13432333,4,30-10-2022,13:19:40
-29.62382333,-51.13441667,4,30-10-2022,13:19:41
-29.62390167,-51.13451833,4,30-10-2022,13:19:42
